Year_Month,Total_Profit
2020-03,6192
2020-04,36156
2020-05,24294
2020-06,9489
2020-07,12008
2020-08,27824
2020-09,29876
2020-10,24776
2020-11,28979
2020-12,24509
2021-01,6449
2021-02,19967
2021-03,36377
2021-04,18777
2021-05,29182
2021-06,24667
2021-07,17409
2021-08,15947
2021-09,13592
2021-10,34803
2021-11,33254
2021-12,32807
2022-01,39808
2022-02,29826
2022-03,27220
2022-04,28156
2022-05,30140
2022-06,45962
2022-07,16986
2022-08,58918
2022-09,15425
2022-10,39007
2022-11,12750
2022-12,48915
2023-01,16237
2023-02,15101
2023-03,33445
2023-04,22102
2023-05,17651
2023-06,25536
2023-07,49391
2023-08,19758
2023-09,29086
2023-10,35231
2023-11,25529
2023-12,32604
2024-01,9292
2024-02,25896
2024-03,36008
2024-04,34182
2024-05,28362
2024-06,36191
2024-07,36323
2024-08,20842
2024-09,23265
2024-10,21337
2024-11,15657
2024-12,20981
2025-01,38595
2025-02,28151
2025-03,13497
