Date_ID,Order_Date,Year_Month,Year,Month,Quarter
1,2023-06-27,2023-06,2023,6,2
2,2024-12-27,2024-12,2024,12,4
3,2021-07-25,2021-07,2021,7,3
4,2023-06-27,2023-06,2023,6,2
5,2024-12-27,2024-12,2024,12,4
6,2021-07-25,2021-07,2021,7,3
7,2024-05-11,2024-05,2024,5,2
8,2021-10-09,2021-10,2021,10,4
9,2022-11-18,2022-11,2022,11,4
10,2022-11-18,2022-11,2022,11,4
11,2023-11-12,2023-11,2023,11,4
12,2020-03-23,2020-03,2020,3,1
13,2020-05-04,2020-05,2020,5,2
14,2020-05-04,2020-05,2020,5,2
15,2020-05-04,2020-05,2020,5,2
16,2023-11-09,2023-11,2023,11,4
17,2023-11-09,2023-11,2023,11,4
18,2024-12-30,2024-12,2024,12,4
19,2024-12-30,2024-12,2024,12,4
20,2025-02-11,2025-02,2025,2,1
21,2024-01-23,2024-01,2024,1,1
22,2020-11-28,2020-11,2020,11,4
23,2020-11-28,2020-11,2020,11,4
24,2024-05-30,2024-05,2024,5,2
25,2024-05-30,2024-05,2024,5,2
26,2024-05-30,2024-05,2024,5,2
27,2022-01-23,2022-01,2022,1,1
28,2021-12-17,2021-12,2021,12,4
29,2023-02-03,2023-02,2023,2,1
30,2022-10-30,2022-10,2022,10,4
31,2022-01-15,2022-01,2022,1,1
32,2023-12-14,2023-12,2023,12,4
33,2023-12-14,2023-12,2023,12,4
34,2023-07-03,2023-07,2023,7,3
35,2021-05-08,2021-05,2021,5,2
36,2023-07-03,2023-07,2023,7,3
37,2021-05-08,2021-05,2021,5,2
38,2022-10-07,2022-10,2022,10,4
39,2022-10-07,2022-10,2022,10,4
40,2024-08-06,2024-08,2024,8,3
41,2024-08-06,2024-08,2024,8,3
42,2024-08-06,2024-08,2024,8,3
43,2022-01-05,2022-01,2022,1,1
44,2020-10-17,2020-10,2020,10,4
45,2023-08-21,2023-08,2023,8,3
46,2022-01-05,2022-01,2022,1,1
47,2020-10-17,2020-10,2020,10,4
48,2023-08-21,2023-08,2023,8,3
49,2024-12-27,2024-12,2024,12,4
50,2021-06-18,2021-06,2021,6,2
51,2023-05-27,2023-05,2023,5,2
52,2021-10-12,2021-10,2021,10,4
53,2024-12-27,2024-12,2024,12,4
54,2021-06-18,2021-06,2021,6,2
55,2023-05-27,2023-05,2023,5,2
56,2021-10-12,2021-10,2021,10,4
57,2022-09-19,2022-09,2022,9,3
58,2022-03-25,2022-03,2022,3,1
59,2022-02-26,2022-02,2022,2,1
60,2021-04-05,2021-04,2021,4,2
61,2022-02-26,2022-02,2022,2,1
62,2021-04-05,2021-04,2021,4,2
63,2022-02-26,2022-02,2022,2,1
64,2021-04-05,2021-04,2021,4,2
65,2020-11-16,2020-11,2020,11,4
66,2020-11-16,2020-11,2020,11,4
67,2020-11-16,2020-11,2020,11,4
68,2024-12-12,2024-12,2024,12,4
69,2023-04-06,2023-04,2023,4,2
70,2024-12-12,2024-12,2024,12,4
71,2023-04-06,2023-04,2023,4,2
72,2024-12-12,2024-12,2024,12,4
73,2023-04-06,2023-04,2023,4,2
74,2024-12-12,2024-12,2024,12,4
75,2023-04-06,2023-04,2023,4,2
76,2024-01-28,2024-01,2024,1,1
77,2024-01-28,2024-01,2024,1,1
78,2022-01-16,2022-01,2022,1,1
79,2022-12-16,2022-12,2022,12,4
80,2023-07-13,2023-07,2023,7,3
81,2023-07-13,2023-07,2023,7,3
82,2023-07-13,2023-07,2023,7,3
83,2023-07-13,2023-07,2023,7,3
84,2025-03-10,2025-03,2025,3,1
85,2024-09-24,2024-09,2024,9,3
86,2025-03-10,2025-03,2025,3,1
87,2024-09-24,2024-09,2024,9,3
88,2020-04-13,2020-04,2020,4,2
89,2020-04-13,2020-04,2020,4,2
90,2022-06-27,2022-06,2022,6,2
91,2021-03-14,2021-03,2021,3,1
92,2022-02-23,2022-02,2022,2,1
93,2022-03-29,2022-03,2022,3,1
94,2022-11-20,2022-11,2022,11,4
95,2021-11-12,2021-11,2021,11,4
96,2021-11-12,2021-11,2021,11,4
97,2021-08-17,2021-08,2021,8,3
98,2022-05-16,2022-05,2022,5,2
99,2023-07-16,2023-07,2023,7,3
100,2023-07-16,2023-07,2023,7,3
101,2023-07-16,2023-07,2023,7,3
102,2020-08-18,2020-08,2020,8,3
103,2022-04-19,2022-04,2022,4,2
104,2022-12-23,2022-12,2022,12,4
105,2024-12-07,2024-12,2024,12,4
106,2022-02-03,2022-02,2022,2,1
107,2021-12-12,2021-12,2021,12,4
108,2022-02-03,2022-02,2022,2,1
109,2021-12-12,2021-12,2021,12,4
110,2022-02-03,2022-02,2022,2,1
111,2021-12-12,2021-12,2021,12,4
112,2020-05-17,2020-05,2020,5,2
113,2022-12-05,2022-12,2022,12,4
114,2024-09-17,2024-09,2024,9,3
115,2022-12-05,2022-12,2022,12,4
116,2024-09-17,2024-09,2024,9,3
117,2023-05-08,2023-05,2023,5,2
118,2021-03-03,2021-03,2021,3,1
119,2021-03-18,2021-03,2021,3,1
120,2023-04-24,2023-04,2023,4,2
121,2021-10-09,2021-10,2021,10,4
122,2022-04-15,2022-04,2022,4,2
123,2022-08-29,2022-08,2022,8,3
124,2021-10-09,2021-10,2021,10,4
125,2022-04-15,2022-04,2022,4,2
126,2022-08-29,2022-08,2022,8,3
127,2024-09-04,2024-09,2024,9,3
128,2021-05-18,2021-05,2021,5,2
129,2024-09-04,2024-09,2024,9,3
130,2021-05-18,2021-05,2021,5,2
131,2024-07-02,2024-07,2024,7,3
132,2024-07-02,2024-07,2024,7,3
133,2024-07-02,2024-07,2024,7,3
134,2024-07-02,2024-07,2024,7,3
135,2024-02-16,2024-02,2024,2,1
136,2024-02-16,2024-02,2024,2,1
137,2021-11-26,2021-11,2021,11,4
138,2021-11-26,2021-11,2021,11,4
139,2021-11-26,2021-11,2021,11,4
140,2024-02-01,2024-02,2024,2,1
141,2021-09-09,2021-09,2021,9,3
142,2021-09-08,2021-09,2021,9,3
143,2024-02-01,2024-02,2024,2,1
144,2021-09-09,2021-09,2021,9,3
145,2021-09-08,2021-09,2021,9,3
146,2024-07-09,2024-07,2024,7,3
147,2024-07-09,2024-07,2024,7,3
148,2024-07-09,2024-07,2024,7,3
149,2024-07-09,2024-07,2024,7,3
150,2023-02-28,2023-02,2023,2,1
151,2023-02-28,2023-02,2023,2,1
152,2023-02-28,2023-02,2023,2,1
153,2022-08-08,2022-08,2022,8,3
154,2022-12-07,2022-12,2022,12,4
155,2024-04-29,2024-04,2024,4,2
156,2022-12-07,2022-12,2022,12,4
157,2024-04-29,2024-04,2024,4,2
158,2022-12-07,2022-12,2022,12,4
159,2024-04-29,2024-04,2024,4,2
160,2022-12-07,2022-12,2022,12,4
161,2024-04-29,2024-04,2024,4,2
162,2022-01-02,2022-01,2022,1,1
163,2022-06-10,2022-06,2022,6,2
164,2021-11-16,2021-11,2021,11,4
165,2022-08-17,2022-08,2022,8,3
166,2022-06-10,2022-06,2022,6,2
167,2021-11-16,2021-11,2021,11,4
168,2022-08-17,2022-08,2022,8,3
169,2022-06-10,2022-06,2022,6,2
170,2021-11-16,2021-11,2021,11,4
171,2022-08-17,2022-08,2022,8,3
172,2021-11-23,2021-11,2021,11,4
173,2023-03-04,2023-03,2023,3,1
174,2023-12-16,2023-12,2023,12,4
175,2024-05-19,2024-05,2024,5,2
176,2020-05-14,2020-05,2020,5,2
177,2024-05-19,2024-05,2024,5,2
178,2020-05-14,2020-05,2020,5,2
179,2021-08-29,2021-08,2021,8,3
180,2024-11-10,2024-11,2024,11,4
181,2024-11-10,2024-11,2024,11,4
182,2021-12-05,2021-12,2021,12,4
183,2021-12-05,2021-12,2021,12,4
184,2024-07-05,2024-07,2024,7,3
185,2024-07-05,2024-07,2024,7,3
186,2024-06-25,2024-06,2024,6,2
187,2024-06-25,2024-06,2024,6,2
188,2024-05-31,2024-05,2024,5,2
189,2024-05-31,2024-05,2024,5,2
190,2020-10-20,2020-10,2020,10,4
191,2022-08-11,2022-08,2022,8,3
192,2021-10-17,2021-10,2021,10,4
193,2020-10-20,2020-10,2020,10,4
194,2022-08-11,2022-08,2022,8,3
195,2021-10-17,2021-10,2021,10,4
196,2022-02-23,2022-02,2022,2,1
197,2022-02-23,2022-02,2022,2,1
198,2023-09-20,2023-09,2023,9,3
199,2021-01-19,2021-01,2021,1,1
200,2021-01-19,2021-01,2021,1,1
201,2020-08-21,2020-08,2020,8,3
202,2023-04-17,2023-04,2023,4,2
203,2023-12-24,2023-12,2023,12,4
204,2020-08-21,2020-08,2020,8,3
205,2023-04-17,2023-04,2023,4,2
206,2023-12-24,2023-12,2023,12,4
207,2020-08-21,2020-08,2020,8,3
208,2023-04-17,2023-04,2023,4,2
209,2023-12-24,2023-12,2023,12,4
210,2020-08-21,2020-08,2020,8,3
211,2023-04-17,2023-04,2023,4,2
212,2023-12-24,2023-12,2023,12,4
213,2022-03-20,2022-03,2022,3,1
214,2021-08-12,2021-08,2021,8,3
215,2021-08-12,2021-08,2021,8,3
216,2020-12-21,2020-12,2020,12,4
217,2023-07-07,2023-07,2023,7,3
218,2023-08-13,2023-08,2023,8,3
