Location_ID,City,State
1,Miami,Florida
2,Chicago,Illinois
3,Buffalo,New York
4,Miami,Florida
5,Chicago,Illinois
6,Buffalo,New York
7,Orlando,Florida
8,Miami,Florida
9,Los Angeles,California
10,Los Angeles,California
11,New York City,New York
12,New York City,New York
13,Orlando,Florida
14,Orlando,Florida
15,Orlando,Florida
16,Springfield,Illinois
17,Springfield,Illinois
18,Rochester,New York
19,Rochester,New York
20,Dallas,Texas
21,San Diego,California
22,San Diego,California
23,San Diego,California
24,Rochester,New York
25,Rochester,New York
26,Rochester,New York
27,Austin,Texas
28,New York City,New York
29,San Francisco,California
30,San Francisco,California
31,Columbus,Ohio
32,Orlando,Florida
33,Orlando,Florida
34,San Diego,California
35,Cincinnati,Ohio
36,San Diego,California
37,Cincinnati,Ohio
38,Orlando,Florida
39,Orlando,Florida
40,San Francisco,California
41,San Francisco,California
42,San Francisco,California
43,Cleveland,Ohio
44,Rochester,New York
45,Los Angeles,California
46,Cleveland,Ohio
47,Rochester,New York
48,Los Angeles,California
49,San Diego,California
50,Cincinnati,Ohio
51,Austin,Texas
52,Dallas,Texas
53,San Diego,California
54,Cincinnati,Ohio
55,Austin,Texas
56,Dallas,Texas
57,Cincinnati,Ohio
58,Miami,Florida
59,Orlando,Florida
60,Houston,Texas
61,Orlando,Florida
62,Houston,Texas
63,Orlando,Florida
64,Houston,Texas
65,Buffalo,New York
66,Buffalo,New York
67,Buffalo,New York
68,Cleveland,Ohio
69,Los Angeles,California
70,Cleveland,Ohio
71,Los Angeles,California
72,Cleveland,Ohio
73,Los Angeles,California
74,Cleveland,Ohio
75,Los Angeles,California
76,Miami,Florida
77,Miami,Florida
78,Tampa,Florida
79,Buffalo,New York
80,San Diego,California
81,San Diego,California
82,San Diego,California
83,San Diego,California
84,Buffalo,New York
85,Cleveland,Ohio
86,Buffalo,New York
87,Cleveland,Ohio
88,New York City,New York
89,New York City,New York
90,Springfield,Illinois
91,Tampa,Florida
92,Cincinnati,Ohio
93,Cleveland,Ohio
94,Peoria,Illinois
95,Orlando,Florida
96,Orlando,Florida
97,Miami,Florida
98,Columbus,Ohio
99,Houston,Texas
100,Houston,Texas
101,Houston,Texas
102,Los Angeles,California
103,Rochester,New York
104,Austin,Texas
105,Dallas,Texas
106,Austin,Texas
107,San Diego,California
108,Austin,Texas
109,San Diego,California
110,Austin,Texas
111,San Diego,California
112,Miami,Florida
113,Dallas,Texas
114,San Francisco,California
115,Dallas,Texas
116,San Francisco,California
