Order_ID,Amount,Quantity,Profit,Order_Date,Payment_Mode,Customer_ID,Products_ID,Location_ID,Date_ID
OID-10001,9726,5,1275,2023-06-27,UPI,1,1,1,1
OID-10002,9726,5,1275,2024-12-27,UPI,2,2,2,2
OID-10003,9726,5,1275,2021-07-25,UPI,3,3,3,3
OID-10004,4975,14,1330,2023-06-27,UPI,4,4,4,4
OID-10005,4975,14,1330,2024-12-27,UPI,5,5,5,5
OID-10006,4975,14,1330,2021-07-25,UPI,6,6,6,6
OID-10007,1525,12,185,2024-05-11,Debit Card,7,7,7,7
OID-10008,1525,12,185,2021-10-09,Debit Card,8,8,8,8
OID-10009,883,10,117,2022-11-18,EMI,9,9,9,9
OID-10010,8127,16,3551,2022-11-18,Credit Card,10,10,10,10
OID-10011,2516,19,734,2023-11-12,UPI,11,11,11,11
OID-10012,2975,14,462,2020-03-23,Credit Card,12,12,12,12
OID-10013,6851,1,2812,2020-05-04,Debit Card,13,13,13,13
OID-10014,7626,15,1046,2020-05-04,Credit Card,14,14,14,14
OID-10015,1023,9,78,2020-05-04,UPI,15,15,15,15
OID-10016,7600,10,1098,2023-11-09,UPI,16,16,16,16
OID-10017,7501,18,262,2023-11-09,COD,17,17,17,17
OID-10018,725,6,133,2024-12-30,Credit Card,18,18,18,18
OID-10019,7201,2,2685,2024-12-30,Credit Card,19,19,19,19
OID-10020,1629,1,265,2025-02-11,UPI,20,20,20,20
OID-10021,1629,1,265,2024-01-23,UPI,21,21,21,21
OID-10022,8971,19,2971,2020-11-28,Debit Card,22,22,22,22
OID-10023,2939,20,894,2020-11-28,COD,23,23,23,23
OID-10024,9380,11,414,2024-05-30,UPI,24,24,24,24
OID-10025,8558,18,1644,2024-05-30,Credit Card,25,25,25,25
OID-10026,4080,17,72,2024-05-30,COD,26,26,26,26
OID-10027,4206,17,1821,2022-01-23,EMI,27,27,27,27
OID-10028,5219,20,1180,2021-12-17,COD,28,28,28,28
OID-10029,5219,20,1180,2023-02-03,COD,29,29,29,29
OID-10030,3686,20,760,2022-10-30,Debit Card,30,30,30,30
OID-10031,3686,20,760,2022-01-15,Debit Card,31,31,31,31
OID-10032,6045,4,1606,2023-12-14,COD,32,32,32,32
OID-10033,9337,11,554,2023-12-14,COD,33,33,33,33
OID-10034,4051,12,1848,2023-07-03,Credit Card,34,34,34,34
OID-10035,4051,12,1848,2021-05-08,Credit Card,35,35,35,35
OID-10036,5011,11,866,2023-07-03,Credit Card,36,36,36,36
OID-10037,5011,11,866,2021-05-08,Credit Card,37,37,37,37
OID-10038,3958,15,630,2022-10-07,EMI,38,38,38,38
OID-10039,3132,1,963,2022-10-07,Debit Card,39,39,39,39
OID-10040,7784,12,2937,2024-08-06,UPI,40,40,40,40
OID-10041,5591,3,1696,2024-08-06,COD,41,41,41,41
OID-10042,5122,12,2413,2024-08-06,COD,42,42,42,42
OID-10043,8293,8,2632,2022-01-05,COD,43,43,43,43
OID-10044,8293,8,2632,2020-10-17,COD,44,44,44,44
OID-10045,8293,8,2632,2023-08-21,COD,45,45,45,45
OID-10046,2863,17,205,2022-01-05,UPI,46,46,46,46
OID-10047,2863,17,205,2020-10-17,UPI,47,47,47,47
OID-10048,2863,17,205,2023-08-21,UPI,48,48,48,48
OID-10049,3090,6,573,2024-12-27,EMI,49,49,49,49
OID-10050,3090,6,573,2021-06-18,EMI,50,50,50,50
OID-10051,3090,6,573,2023-05-27,EMI,51,51,51,51
OID-10052,3090,6,573,2021-10-12,EMI,52,52,52,52
OID-10053,9683,5,1014,2024-12-27,UPI,53,53,53,53
OID-10054,9683,5,1014,2021-06-18,UPI,54,54,54,54
OID-10055,9683,5,1014,2023-05-27,UPI,55,55,55,55
OID-10056,9683,5,1014,2021-10-12,UPI,56,56,56,56
OID-10057,2463,18,648,2022-09-19,EMI,57,57,57,57
OID-10058,7811,12,1538,2022-03-25,COD,58,58,58,58
OID-10059,6139,10,451,2022-02-26,Debit Card,59,59,59,59
OID-10060,6139,10,451,2021-04-05,Debit Card,60,60,60,60
OID-10061,8636,3,3192,2022-02-26,COD,61,61,61,61
OID-10062,8636,3,3192,2021-04-05,COD,62,62,62,62
OID-10063,4439,19,1712,2022-02-26,Credit Card,63,63,63,63
OID-10064,4439,19,1712,2021-04-05,Credit Card,64,64,64,64
OID-10065,1016,20,172,2020-11-16,Debit Card,65,65,65,65
OID-10066,5768,14,2059,2020-11-16,UPI,66,66,66,66
OID-10067,1217,3,151,2020-11-16,Credit Card,67,67,67,67
OID-10068,953,2,93,2024-12-12,Debit Card,68,68,68,68
OID-10069,953,2,93,2023-04-06,Debit Card,69,69,69,69
OID-10070,7355,3,1034,2024-12-12,COD,70,70,70,70
OID-10071,7355,3,1034,2023-04-06,COD,71,71,71,71
OID-10072,1843,3,248,2024-12-12,Credit Card,72,72,72,72
OID-10073,1843,3,248,2023-04-06,Credit Card,73,73,73,73
OID-10074,1603,10,361,2024-12-12,Debit Card,74,74,74,74
OID-10075,1603,10,361,2023-04-06,Debit Card,75,75,75,75
OID-10076,2025,1,528,2024-01-28,Credit Card,76,76,76,76
OID-10077,6800,16,167,2024-01-28,EMI,77,77,77,77
OID-10078,1126,1,55,2022-01-16,UPI,78,78,78,78
OID-10079,1126,1,55,2022-12-16,UPI,79,79,79,79
OID-10080,7533,12,3508,2023-07-13,UPI,80,80,80,80
OID-10081,4734,16,1178,2023-07-13,Credit Card,81,81,81,81
OID-10082,4074,6,1175,2023-07-13,Debit Card,82,82,82,82
OID-10083,2334,3,484,2023-07-13,Credit Card,83,83,83,83
OID-10084,2750,11,1239,2025-03-10,Debit Card,84,84,84,84
OID-10085,2750,11,1239,2024-09-24,Debit Card,85,85,85,85
OID-10086,8639,19,3104,2025-03-10,EMI,86,86,86,86
OID-10087,8639,19,3104,2024-09-24,EMI,87,87,87,87
OID-10088,3808,4,1192,2020-04-13,UPI,88,88,88,88
OID-10089,2588,16,705,2020-04-13,Credit Card,89,89,89,89
OID-10090,1591,5,727,2022-06-27,Credit Card,90,90,90,90
OID-10091,1591,5,727,2021-03-14,Credit Card,91,91,91,91
OID-10092,1591,5,727,2022-02-23,Credit Card,92,92,92,92
OID-10093,1757,10,622,2022-03-29,UPI,93,93,93,93
OID-10094,1757,10,622,2022-11-20,UPI,94,94,94,94
OID-10095,6940,15,253,2021-11-12,Debit Card,95,95,95,95
OID-10096,5105,5,465,2021-11-12,UPI,96,96,96,96
OID-10097,5578,16,277,2021-08-17,COD,97,97,97,97
OID-10098,5578,16,277,2022-05-16,COD,98,98,98,98
OID-10099,5224,16,1958,2023-07-16,Credit Card,99,99,99,99
OID-10100,5002,11,1801,2023-07-16,Credit Card,100,100,100,100
OID-10101,7380,18,1673,2023-07-16,COD,101,101,101,101
OID-10102,7595,4,2873,2020-08-18,Debit Card,102,102,102,102
OID-10103,7595,4,2873,2022-04-19,Debit Card,103,103,103,103
OID-10104,1954,7,294,2022-12-23,Debit Card,104,104,104,104
OID-10105,523,20,95,2024-12-07,EMI,105,105,105,105
OID-10106,5704,13,714,2022-02-03,EMI,106,106,106,106
OID-10107,5704,13,714,2021-12-12,EMI,107,107,107,107
OID-10108,8797,8,1010,2022-02-03,UPI,108,108,108,108
OID-10109,8797,8,1010,2021-12-12,UPI,109,109,109,109
OID-10110,9236,5,2899,2022-02-03,Debit Card,110,110,110,110
OID-10111,9236,5,2899,2021-12-12,Debit Card,111,111,111,111
OID-10112,9109,17,586,2020-05-17,EMI,112,112,112,112
OID-10113,4358,19,526,2022-12-05,Credit Card,113,113,113,113
OID-10114,4358,19,526,2024-09-17,Credit Card,114,114,114,114
OID-10115,6459,8,825,2022-12-05,Credit Card,115,115,115,115
OID-10116,6459,8,825,2024-09-17,Credit Card,116,116,116,116
OID-10117,2478,12,92,2023-05-08,COD,117,117,117,117
OID-10118,2478,12,92,2021-03-03,COD,118,118,118,118
OID-10119,2478,12,92,2021-03-18,COD,119,119,119,119
OID-10120,2478,12,92,2023-04-24,COD,120,120,120,120
OID-10121,9992,20,3696,2021-10-09,Debit Card,121,121,121,121
OID-10122,9992,20,3696,2022-04-15,Debit Card,122,122,122,122
OID-10123,9992,20,3696,2022-08-29,Debit Card,123,123,123,123
OID-10124,9619,7,3420,2021-10-09,UPI,124,124,124,124
OID-10125,9619,7,3420,2022-04-15,UPI,125,125,125,125
OID-10126,9619,7,3420,2022-08-29,UPI,126,126,126,126
OID-10127,9538,20,3158,2024-09-04,Credit Card,127,127,127,127
OID-10128,9538,20,3158,2021-05-18,Credit Card,128,128,128,128
OID-10129,9035,14,1227,2024-09-04,EMI,129,129,129,129
OID-10130,9035,14,1227,2021-05-18,EMI,130,130,130,130
OID-10131,2684,2,670,2024-07-02,COD,131,131,131,131
OID-10132,822,5,147,2024-07-02,Credit Card,132,132,132,132
OID-10133,9730,2,2341,2024-07-02,EMI,133,133,133,133
OID-10134,2483,2,236,2024-07-02,COD,134,134,134,134
OID-10135,1297,7,600,2024-02-16,Credit Card,135,135,135,135
