Products_ID,Category,Sub-Category
1,Electronics,Electronic Games
2,Electronics,Electronic Games
3,Electronics,Electronic Games
4,Electronics,Printers
5,Electronics,Printers
6,Electronics,Printers
7,Office Supplies,Pens
8,Office Supplies,Pens
9,Electronics,Laptops
10,Furniture,Tables
11,Furniture,Chairs
12,Office Supplies,Pens
13,Office Supplies,Markers
14,Furniture,Sofas
15,Furniture,Tables
16,Office Supplies,Pens
17,Office Supplies,Paper
18,Office Supplies,Paper
19,Furniture,Tables
20,Office Supplies,Paper
21,Office Supplies,Paper
22,Office Supplies,Binders
23,Office Supplies,Binders
24,Electronics,Phones
25,Office Supplies,Binders
26,Office Supplies,Paper
27,Electronics,Electronic Games
28,Office Supplies,Binders
29,Office Supplies,Binders
30,Office Supplies,Pens
31,Office Supplies,Pens
32,Office Supplies,Paper
33,Office Supplies,Pens
34,Electronics,Phones
35,Electronics,Phones
36,Furniture,Bookcases
37,Furniture,Bookcases
38,Furniture,Sofas
39,Furniture,Tables
40,Office Supplies,Markers
41,Office Supplies,Pens
42,Electronics,Electronic Games
43,Office Supplies,Binders
44,Office Supplies,Binders
45,Office Supplies,Binders
46,Electronics,Phones
47,Electronics,Phones
48,Electronics,Phones
49,Furniture,Tables
50,Furniture,Tables
51,Furniture,Tables
52,Furniture,Tables
53,Electronics,Printers
54,Electronics,Printers
55,Electronics,Printers
56,Electronics,Printers
57,Furniture,Tables
58,Furniture,Sofas
59,Furniture,Tables
60,Furniture,Tables
61,Furniture,Chairs
62,Furniture,Chairs
63,Furniture,Sofas
64,Furniture,Sofas
65,Furniture,Tables
66,Furniture,Tables
67,Furniture,Tables
68,Office Supplies,Paper
69,Office Supplies,Paper
70,Furniture,Sofas
71,Furniture,Sofas
72,Electronics,Phones
73,Electronics,Phones
74,Office Supplies,Pens
75,Office Supplies,Pens
76,Office Supplies,Pens
77,Office Supplies,Binders
78,Furniture,Bookcases
79,Furniture,Bookcases
80,Furniture,Tables
81,Office Supplies,Binders
82,Electronics,Electronic Games
83,Furniture,Sofas
84,Electronics,Phones
85,Electronics,Phones
86,Office Supplies,Pens
87,Office Supplies,Pens
88,Office Supplies,Markers
89,Office Supplies,Pens
90,Electronics,Electronic Games
91,Electronics,Electronic Games
92,Electronics,Electronic Games
93,Furniture,Chairs
94,Furniture,Chairs
95,Furniture,Bookcases
96,Electronics,Printers
97,Furniture,Tables
98,Furniture,Tables
99,Furniture,Chairs
100,Office Supplies,Markers
101,Office Supplies,Markers
